price,comments,free_shipping2,bestseller2,sales,sellername
92.5,348.0,2,0,1102.0,AuntieQsAttic
91.21666666666665,132.0,3,0,562.0,AuntsAttic10
16.083333333333332,35.0,0,0,215.0,AuntyEntitysVintage
11.25,18.0,0,0,128.0,AuntyEntitysVinyl
25.483333333333334,274.0,0,0,1242.0,AuntysTeeks
160.0,4.0,1,0,18.0,AuroraArtCompany
15.5,30.0,0,1,230.0,AuroraReeds
220.158,0.0,0,0,5.0,Auroracustomshop
65.0,3.0,1,0,15.0,AustinCityLeather
52.0,63.0,2,0,373.0,AustinLeathercraft
10.882352941176471,35.0,0,0,154.0,AvasHopeChest
31.28125,2.0,0,0,26.0,AvennaDesign
24.0,4.0,0,0,56.0,Avigails
40.74,0.0,0,0,15.0,AwesomegiftCreations
211.66666666666666,18.0,0,0,51.0,AxBox
12.99,1.0,2,0,1.0,AxTaxx
122.44444444444444,0.0,0,0,0.0,AxeLeatherCo
28.99,130.0,0,0,789.0,AxetremeCreations
69.95,122.0,0,0,754.0,Axovus
54.54545454545455,583.0,0,4,4897.0,AztecDeathWhistles
109.0,12.0,0,0,44.0,BASandstrom
46.54,59.0,0,0,253.0,BAZARITALIA
7.99,3.0,0,0,17.0,BBFarmHinckley
94.13285714285713,0.0,0,0,0.0,BBGuitarLab
1500.0,0.0,0,0,0.0,BBlumentritt
9.459999999999999,29.0,0,0,81.0,BBsAtticFinds
25.0,115.0,0,0,443.0,BEFOREANDNOWBoutique
18.25,229.0,0,0,2671.0,BHLGuitarPicks
6.76,0.0,0,0,1.0,BIFOCALSMULTIPLES
60.81499999999999,184.0,0,0,886.0,BJCleather
136.0,40.0,0,0,379.0,BLINGCONS
32.99333333333334,867.0,3,0,5633.0,BLINGYourNameHere
65.0,58.0,2,0,332.0,BLINGnBAGSandMORE
14.25,80.0,2,0,298.0,BMTVintageWares
8.666666666666666,294.0,0,0,1164.0,BMunique
20.0,6.0,0,0,22.0,BOMAJTreasures
140.0,9.0,0,0,69.0,BOROVINTAGE
495.0,6.0,1,0,23.0,BOYSANDDOLLSCO
61.1,4.0,0,0,62.0,BQmusic
99.0,4.0,0,0,73.0,BRIGHTTONE
244.0,5.0,0,0,18.0,BRITTANYMATYAS
59.0,16.0,0,0,112.0,BSCCGG
13.333333333333334,111.0,0,1,2783.0,BSMicCovers
20.0,22.0,1,0,101.0,BUFFALOSWILDWEST
325.0,0.0,0,0,0.0,BUKKEHORN
182.33333333333334,7.0,0,0,25.0,BURNYBLACK
36.0,129.0,0,0,480.0,BVAntiques
274.0,28.0,0,0,264.0,BYOGuitar
69.0,33.0,0,0,136.0,BabblingBrookArt
11.522499999999999,1120.0,0,0,4872.0,BabisTreasures
7.2,47.0,0,0,220.0,BabushkaSCARF
17.39,13.0,0,0,68.0,BabyBearsMusic
25.708,21.0,0,0,128.0,BabyBoomerProud
3772.61,0.0,0,0,3.0,BacceGuitars
32.8,4.0,0,0,28.0,BachiHouse
45.0,1.0,2,0,14.0,BackNtimeTreasures
13.0,41.0,0,0,124.0,Backtothepastussr
13.9925,1114.0,0,0,2453.0,BackwoodsTreasure
106.5,39.0,0,0,212.0,BackyardMusic
4.857142857142857,0.0,0,0,5.0,BackyardRailroadCo
169.09,1.0,0,0,6.0,BadPennyFX
13.95,0.0,0,0,1.0,Bagatellebricabrac
11.0,3.0,0,0,34.0,BagelBitesVintage
25.0,0.0,0,0,34.0,BagsbyGen
39.166666666666664,143.0,1,0,511.0,BaileyRetroFun
14.3,19.0,0,0,70.0,BakTraks
15.722222222222221,6.0,5,0,50.0,BakerStreetBooksShop
29.68125,92.0,0,0,310.0,Balkanstar
20.95,81.0,0,0,249.0,BalticArtAndTextile
246.69230769230768,4.0,0,0,13.0,BalticPsalteries
19.99,422.0,0,0,2470.0,BambooMN
22.0,237.0,1,0,1096.0,BananasDesign
9.764000000000001,0.0,0,0,0.0,BandMStore
48.660000000000004,6.0,0,0,40.0,BanditBooks
209.07599999999996,31.0,0,0,77.0,BanditFrance
62.15277777777778,154.0,0,0,816.0,Bansai8Creations
58.19333333333333,8.0,0,0,46.0,BansurItalia
9.99,95.0,0,0,236.0,BarbNBevShop
16.8125,15.0,0,0,74.0,BarbiesBoutique10
8.0,10.0,0,0,65.0,Barbsatticfinds
17.6,450.0,0,0,1418.0,BarefootAndCivil
280.0,18.0,0,0,52.0,BarefootBoogieGuitar
55.0,2.0,0,0,9.0,BarefootShekeres
50.0,2.0,1,0,13.0,Bargainbeautiesgifts
22.714,19.0,0,0,116.0,BarnardosCharity
21.8925,301.0,1,0,1430.0,BarnboardAntiques
30.0,543.0,2,0,1334.0,BarnshopAntiques
106.0,3.0,0,0,7.0,BarnstormerLeatherCo
1.0,62.0,0,0,161.0,BarnswallowNJ
48.333333333333336,49.0,0,0,797.0,BaroqueBling
65.99,95.0,0,0,598.0,BarrelArtNapaValley
133.33333333333334,116.0,0,0,491.0,BarrysAttic
13.45,339.0,0,0,1419.0,BasementBoutiqueMall
867.8,6.0,3,0,29.0,BasicGoodnessShop
50.0,57.0,0,0,234.0,BaskervilleAntiques
26.189999999999998,5.0,0,0,12.0,BaspareGr
85.06785714285715,20.0,0,0,168.0,BassmanStickers
66.80499999999999,40.0,0,1,243.0,Bateriando
1079.735,17.0,8,0,34.0,BattiloroHandpan
89.0,14.0,0,0,87.0,BayStraps
5.0,1.0,0,0,6.0,Bayou3dWorks
98.0,4.0,0,0,19.0,BayouBasses
9.3,38.0,0,0,177.0,BeachGrove
6.59,34.0,0,0,158.0,BeachSidePicks
6.25,52.0,0,0,102.0,Beachbygones
16.0,739.0,0,0,2181.0,Beadgarden55
285.0,22.0,1,0,70.0,BeanBrothersLeather
10.277058823529408,3442.0,0,0,10340.0,BeansterGoods
9.933846153846153,138.0,12,0,556.0,BeanzVintiques
105.2,54.0,0,0,261.0,BearCaveFlutes
19.99,14.0,2,0,39.0,BearHollowCarvings
20.0,22.0,0,0,589.0,BeatBlocks
25.094761904761906,40.0,0,0,256.0,BeatCreatures
6.811111111111111,203.0,0,0,633.0,BeatnikRepublic
48.20642857142857,46.0,0,0,261.0,Beats45Records
26.7125,45.0,0,0,309.0,BeaumontMusic
33.3,28.0,0,0,100.0,BeautifulPangea
42.666666666666664,5.0,0,0,31.0,BeautifulThingsUa
30.0,699.0,0,0,1818.0,BeautimousVintage
165.0,5.0,0,0,15.0,BedfordAvenueFlutes
12.75,177.0,1,0,1011.0,BeeSewCreative
12.979375,168.0,0,0,868.0,BeechHomeCo
4.06,173.0,0,0,679.0,Beecreativebox
6.571428571428571,2.0,0,0,18.0,BeenJunkin
5.4,268.0,0,0,2251.0,BeenanasUK
152.5,29.0,1,0,161.0,BeholdAntiques
33.0,1450.0,0,0,5183.0,BelindasStyleShop
37.489999999999995,111.0,0,0,766.0,BellaArtDesign
12.0,1149.0,0,0,2965.0,BellaCascada
85.0,108.0,0,0,345.0,BellasTreasureTrove
3.4150515463917497,34.0,0,0,1072.0,Bellassis
74.0,74.0,1,0,257.0,BelleDeJourByPamela
137.15088235294112,95.0,0,0,401.0,BeltUpLeatherWorks
300.0,0.0,0,0,0.0,BemasCocoa
27.333333333333332,56.0,0,0,293.0,BenchCrafts
60.0,19.0,0,0,86.0,BendingBranch
6.0,102.0,0,0,246.0,BeneathThePinkPetal
111.30578947368413,358.0,0,0,1350.0,BensVintageItems
1.0,1.0,0,0,4.0,BerkeleyStrings
15.0,500.0,0,0,1828.0,BerkshireShopGirl
5.0,38.0,0,0,153.0,Bernadetteskid
385.55,0.0,0,0,0.0,BertHarps
65.0,249.0,0,0,904.0,Bessiesartandmusic
19.48,145.0,0,0,633.0,BestFrenchBargains
13.568947368421055,22.0,19,0,249.0,BestMusicStuff
164.0,0.0,0,0,15.0,BestOldStuff
17.618333333333336,10.0,6,0,89.0,BestVintageDealsByRJ
39.99,593.0,0,0,1583.0,Bestintreasures
15.0,1.0,0,0,18.0,BestofMidwestVintage
49.546666666666674,24.0,0,0,276.0,Bestzimo
10.0,83.0,0,0,333.0,BethiesBizarre
20.0,40.0,0,0,189.0,Betsykitsch
10.0,21.0,0,0,50.0,BettysFavoriteThings
24.0,93.0,0,0,307.0,BettysRetroRoom
6.3125,241.0,0,0,733.0,BettywasaBombshell
13.5,654.0,0,0,2126.0,BexVintage
51.21,96.0,0,0,245.0,BibelotZone
34.85142857142857,14.0,7,0,60.0,Bidighten
8.2,84.0,0,0,405.0,BigCanyonVintage
76.5225,16.0,0,0,45.0,BigDawgLeather
21.798000000000002,22.0,0,0,122.0,BigRidgeCollectibles
4.666666666666667,378.0,0,0,1558.0,BigYellowRetro
1695.0,1.0,1,0,5.0,BillJonesTrumpets
72.0,66.0,1,0,464.0,BillThomasPrinting
14.2,17.0,0,0,77.0,BillsMusicPlus
16.0,26.0,0,0,166.0,BillysBassoonReeds
300.0,0.0,0,0,2.0,BillysFarFarAway
70.58333333333333,32.0,0,0,74.0,BinaDella
750.0,10.0,1,0,19.0,BinkysBazaar
217.44,1.0,0,0,3.0,BiperArt
211.0,28.0,0,0,120.0,BirchardHayes
7.95,25.0,0,0,161.0,BirdhouseBooks
30.0,400.0,0,0,1865.0,BitakaVintage
9.375,336.0,0,0,1393.0,BitterSweetRidgeLLC
15.958333333333334,87.0,0,0,330.0,BjeweledJustVintage
243.51,0.0,0,0,2.0,BlackCatGuitarsCBG
13.99,16.0,0,0,146.0,BlackDogGearUS
4.0,61.0,0,0,214.0,BlackDragonTreasures
429.1666666666667,5.0,6,0,10.0,BlackKatUkulele
105.68181818181819,10.0,22,0,104.0,BlackOwlGuitars
21.0,365.0,0,0,1090.0,BlackSeaVintage
29.99,119.0,0,0,389.0,BlackShipCrafts
199.99,28.0,0,0,108.0,BlackWaterandCo
